date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265
2022-04-11,3,1,0,43,0,0,38,0,1,42,2,54,563,6,0,0,4,2,2,2,3,1,2,336,23,1,0,7,2,0,0,0,48,0,8,1,4,2,4,12,264,85,1921,0,109,0,1,2783,10,669,6,20,0,2,3,8,2,0,0,1,7,3,0,0,65,21,0,2346,3,459,2,3,0,244,647,7,0,0,1529,5,2,10,1,0,2,0,485,319,4,1455,5,1,15,0,16,0,27,0,0,1685,3,3,0,0,0,2,2047,3,0,0,0,6,1274,934,0,84,1,1,6,1,1,3,1,1,447,0,6,0,12,12,5,5418,2,9,2,2,1133,3203,3,2373,2576,3252,1316,759,31,35,1,524,0,0,941,93,1,0,1,0,5,602,1,1,5002,3824,3166,2166,5,565,1,2,0,3315,0,0,1,4,0,0,2,0,13,0,20,4,0,0,2,3432,0,11,4,0,10,1,7,1,2,5,9,2,0,2,0,2,1,0,8,0,3,0,148,3,557,2,5,0,13,17,2,6,14,1,0,2,19,117,4,79,2,1,2040,3117,1323,69,1349,2572,4,4861,5507,2320,2811,0,2,1,10,89,0,1436,4,0,1519,0,0,1,0,6,10,7,1,1,0,15,505,1426,2038,1193,14
2022-04-12,0,0,1,75,0,0,60,0,0,30,2,49,795,10,0,0,8,2,0,2,3,0,5,433,99,6,0,3,2,0,0,0,111,3,6,3,4,9,7,34,388,139,2009,1,175,0,1,3168,8,849,10,57,0,0,2,3,0,0,0,1,10,4,0,1,176,63,3,2423,5,325,2,4,2,317,854,4,1,0,2263,12,0,12,6,0,2,2,727,368,7,1620,2,3,11,0,12,1,95,0,0,1814,0,0,0,0,1,15,2472,1,0,0,0,14,1527,1163,0,105,1,0,2,0,0,0,1,0,657,3,6,0,15,15,2,4628,4,7,4,4,1154,2937,3,2511,2901,3793,1587,850,42,85,2,833,1,1,1118,125,0,0,3,2,4,708,1,1,3884,3474,2900,2196,7,792,1,11,1,3195,0,0,2,3,0,0,1,0,18,1,94,0,0,0,1,3432,0,5,12,7,3,1,12,1,2,10,8,2,0,2,0,5,3,0,9,0,5,2,212,0,713,0,5,0,13,11,4,3,8,4,0,2,24,193,6,81,2,16,2517,3142,1996,152,1422,2538,3,5499,5796,2697,3409,0,2,7,17,117,0,1467,10,2,2011,0,0,0,0,5,31,43,3,1,0,19,550,1507,2296,1335,11
2022-04-13,0,0,3,66,1,0,60,0,2,27,0,57,796,3,1,1,7,2,1,1,3,3,4,403,52,0,0,5,0,0,0,0,81,0,4,1,5,4,7,16,356,117,2084,0,124,0,3,3521,9,764,5,37,0,0,4,0,0,0,0,0,10,3,0,1,98,31,2,2668,2,386,3,6,0,298,805,4,2,2,2243,6,3,8,4,0,2,8,657,364,8,1866,7,2,11,2,7,0,49,0,0,1961,1,1,0,0,0,2,2659,2,0,0,0,10,1555,1290,0,90,4,0,8,0,3,0,3,2,647,0,6,3,19,7,5,4349,6,6,1,0,1353,2850,4,2498,2797,4096,1536,865,40,66,1,768,1,2,1138,120,0,0,2,0,7,732,8,1,4978,4074,3608,2585,1,747,4,8,1,3591,1,0,2,3,2,0,0,1,20,0,32,3,0,0,0,3196,1,6,8,1,2,0,15,1,1,6,6,1,0,1,1,3,3,0,4,0,2,0,194,5,746,3,6,0,4,8,1,2,9,4,0,2,25,151,9,72,1,5,2473,3631,1907,107,1526,3099,5,5150,6211,2557,3413,1,0,5,14,103,0,1846,14,1,2137,2,0,1,2,2,17,16,2,0,0,13,589,1476,2255,1262,9
2022-04-14,3,0,0,94,1,0,45,1,0,24,1,60,765,3,0,1,5,2,1,2,1,4,2,445,46,4,0,6,2,0,0,0,71,1,4,0,3,2,7,17,353,135,2300,0,163,0,1,3683,10,878,2,34,0,0,4,1,0,0,0,0,14,4,0,0,111,43,2,3010,4,401,3,4,1,328,921,7,4,2,2740,8,0,6,2,0,4,4,763,396,7,2018,3,2,12,3,6,0,52,1,0,1924,1,3,0,0,0,7,2920,2,0,0,0,22,1734,1258,0,128,4,0,6,0,3,3,0,3,629,2,5,1,13,10,0,4466,5,11,1,0,1378,2947,1,2526,3013,4109,1522,1013,47,55,2,996,2,0,1141,138,2,0,1,0,8,938,6,1,4743,4005,3486,2499,0,839,3,23,2,3663,2,0,0,2,1,0,7,0,20,2,31,3,0,0,0,3570,0,10,4,1,6,1,21,5,0,3,4,1,0,0,1,8,3,0,4,0,6,1,183,2,812,3,3,0,16,6,4,3,14,2,0,3,24,205,3,88,3,3,2553,3633,1795,124,1506,3152,3,5538,6288,2673,3646,0,4,3,16,131,0,1970,15,0,2452,0,0,0,0,4,30,24,1,2,2,17,564,1696,2524,1308,19
2022-04-15,0,0,2,137,0,0,58,1,0,29,1,67,687,2,0,0,4,3,2,2,1,1,2,431,57,3,0,4,0,0,2,2,68,3,1,3,2,0,1,16,365,140,2117,0,165,0,5,3455,9,909,5,23,1,1,4,3,0,0,0,0,14,2,3,1,104,41,0,2996,0,511,1,3,1,349,762,10,0,5,3358,10,3,9,6,0,2,4,670,352,6,2156,7,1,12,2,8,0,52,0,0,1783,3,1,0,0,0,1,2884,2,0,0,0,21,1625,1651,0,90,4,1,2,1,0,0,4,1,594,1,13,0,27,11,1,4665,3,7,1,0,1430,3084,1,1974,2973,3639,1392,1116,58,55,1,1385,0,1,1164,94,0,0,1,0,5,1074,5,2,4164,3121,2874,2510,3,677,0,14,0,3324,0,0,2,2,2,0,2,0,27,2,30,0,1,0,0,3330,0,6,8,4,1,0,22,1,0,7,5,1,0,1,1,6,0,0,2,0,4,3,210,1,956,2,3,0,10,9,4,5,4,4,0,2,26,200,4,101,1,2,2383,3296,1696,159,1363,3042,3,4527,4908,2553,3615,0,0,1,20,109,0,1962,8,0,2662,1,0,0,1,4,48,32,1,2,2,19,652,1567,2531,1208,19
2022-04-16,3,0,2,195,2,0,80,0,0,23,0,65,564,5,0,0,9,2,0,3,0,1,4,352,54,1,0,6,2,0,3,2,62,1,1,5,3,0,4,9,353,126,2161,1,186,0,2,4063,15,896,5,20,1,1,1,1,0,0,0,0,8,1,3,0,105,53,0,2967,9,334,1,2,0,316,573,1,1,0,4175,36,4,9,4,0,2,1,576,321,5,2096,3,3,8,0,7,0,55,0,0,1749,0,0,0,0,0,4,2629,1,0,0,0,45,1495,1827,0,119,1,0,3,1,0,0,0,0,597,0,1,1,20,7,0,3697,2,2,0,6,1116,1462,1,1441,2681,3755,1086,1327,67,72,1,1986,0,0,1077,77,2,0,3,0,5,1171,7,1,3997,2716,2817,2593,0,595,4,10,3,2920,2,0,1,1,0,0,3,0,37,0,33,5,0,0,1,3109,0,3,15,6,1,0,16,3,2,3,5,1,0,1,0,1,0,0,1,1,1,0,222,2,1136,2,4,1,5,5,5,1,1,2,0,1,22,166,5,79,0,1,2161,3763,1532,232,1191,3118,5,3541,4036,2031,3258,0,1,4,13,70,0,2122,8,1,3031,5,0,0,0,5,103,69,3,0,2,14,678,1201,2395,1106,13
2022-04-17,3,0,3,144,3,0,69,0,0,22,0,76,438,3,0,2,11,2,1,0,1,1,2,304,25,1,0,1,2,0,4,3,66,0,1,5,9,1,10,4,348,107,1850,1,140,0,3,3358,8,683,2,6,0,1,1,2,0,0,0,0,9,4,3,0,69,33,0,2579,3,353,4,5,0,311,500,7,0,3,2811,21,0,13,5,0,3,1,408,206,1,1578,1,1,6,1,4,0,33,0,0,1473,0,0,0,0,0,4,1934,0,0,0,0,13,1205,1435,0,91,0,0,2,2,0,1,0,1,482,1,2,1,18,7,2,4673,3,4,1,4,880,2924,0,1094,2121,2699,870,1019,45,57,1,1379,0,0,800,67,1,0,0,0,6,823,10,1,3003,2715,2399,2008,1,435,2,9,4,2446,0,0,1,1,1,0,3,0,30,0,22,3,0,0,2,3373,0,0,7,6,3,1,7,2,5,2,2,3,0,1,2,3,2,0,2,0,1,3,130,1,786,1,3,0,7,10,2,3,10,3,0,0,23,155,8,60,0,3,1683,3669,1115,141,1082,2063,5,2835,3148,1685,2609,13,1,4,16,73,0,1581,6,1,2414,2,0,0,0,3,61,42,0,0,2,24,569,975,1801,1076,14
2022-04-18,2,0,0,50,1,0,49,3,0,33,1,33,562,3,0,1,7,1,0,2,2,1,6,270,29,1,0,8,0,0,1,0,44,0,3,1,4,5,4,8,226,84,1736,0,94,0,1,2898,9,637,7,17,1,0,2,6,0,0,0,0,11,3,1,1,71,35,1,2291,3,353,4,3,0,224,599,5,0,2,1564,7,0,9,0,0,3,4,376,225,6,1413,6,5,16,1,12,0,35,0,0,1762,0,1,0,0,0,3,1906,1,0,0,0,5,1253,864,0,68,4,0,2,0,1,2,1,0,382,1,3,0,17,8,2,5113,1,11,3,4,1228,3334,1,2277,2288,2977,1125,727,36,53,1,503,1,0,832,71,1,0,2,0,5,556,6,1,4796,3799,3095,2150,14,502,2,6,2,2988,0,0,2,2,0,0,3,0,27,0,10,4,0,0,3,3996,0,8,2,0,3,0,16,4,1,4,5,1,0,1,1,1,5,0,4,0,5,1,139,3,573,2,5,0,12,6,3,5,8,3,0,2,18,113,4,67,0,2,1908,3403,1171,73,1251,2441,2,4309,4851,1996,2649,0,1,5,13,76,0,1376,7,0,1474,1,0,0,0,1,15,17,1,2,0,12,553,1423,1807,1118,8
2022-04-19,2,0,0,65,0,0,41,1,4,28,2,44,628,5,0,0,9,1,1,1,0,2,5,334,35,3,0,5,4,0,0,1,42,0,3,4,4,2,7,9,246,84,2031,1,132,0,2,3239,7,810,9,28,4,1,5,5,0,0,0,2,14,1,1,0,67,26,1,2640,1,415,2,5,0,213,642,7,0,2,1911,11,0,4,4,0,3,4,490,324,7,1742,5,1,10,1,5,1,32,0,0,2058,2,1,0,0,0,0,2348,0,0,0,0,8,1574,1093,0,66,7,1,2,0,0,0,2,1,537,0,4,1,12,8,2,5233,2,8,2,1,1253,3269,1,2434,2751,3755,1230,779,42,33,2,579,2,0,965,75,1,0,2,2,3,575,1,1,5664,4431,3671,2495,5,655,4,4,3,3727,0,0,1,1,1,0,4,0,23,0,19,3,0,0,2,4168,0,9,3,2,11,1,14,4,3,3,9,5,0,0,0,2,4,0,8,0,2,0,131,5,705,3,1,1,4,16,4,4,4,1,0,2,16,144,6,56,1,5,2298,3870,1425,82,1489,2972,2,5293,6030,2290,3002,0,1,4,10,94,0,1802,4,4,1812,1,0,0,0,5,24,18,0,3,2,20,522,1534,2086,1189,7
2022-04-20,3,0,0,58,1,0,41,0,1,34,0,65,731,5,0,0,10,3,5,0,2,1,5,347,42,4,0,7,6,0,1,1,50,2,6,1,9,3,10,19,249,89,2059,1,125,1,1,3501,7,780,5,20,0,0,2,4,0,0,0,1,10,3,1,1,90,25,1,2824,2,470,3,6,1,225,635,1,2,1,2100,10,2,10,6,0,5,3,561,370,6,1913,7,3,8,0,8,2,38,0,0,2082,0,1,0,0,0,5,2548,2,0,0,0,6,1543,1180,0,69,6,1,1,0,5,1,0,3,564,2,4,1,16,5,4,4709,8,4,0,1,1281,3378,2,2447,2882,3893,1291,861,27,48,1,750,3,0,955,90,0,0,1,0,7,752,6,2,5444,4511,3660,2594,2,651,2,6,3,3732,0,0,1,2,1,0,5,0,15,2,21,0,3,0,1,3897,0,10,5,2,5,0,18,8,1,4,5,1,0,2,1,3,5,0,8,0,3,1,158,3,709,0,4,0,6,6,1,2,7,1,0,0,16,140,9,65,1,3,2556,3812,1713,78,1524,3002,1,5013,6153,2289,3119,0,0,3,6,81,0,1837,3,0,1997,1,0,1,0,1,39,31,1,1,2,12,567,1547,2223,1288,16
