date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265
2022-04-21,4,0,0,68,1,0,46,0,0,22,4,58,730,8,0,1,6,1,1,0,3,2,5,343,40,1,0,6,2,0,1,2,51,1,5,2,9,4,3,12,278,95,2387,1,149,1,1,3763,3,755,8,20,0,0,1,2,0,0,0,1,5,2,1,2,68,30,3,3020,1,478,5,3,2,260,687,4,2,4,2484,17,1,9,6,0,3,6,593,360,6,2078,6,2,12,1,7,0,37,1,0,2289,1,0,0,0,0,1,2660,3,0,0,0,9,1652,1271,0,88,3,0,3,1,1,2,1,3,620,3,5,0,14,8,2,4625,0,7,1,1,1426,3480,4,2357,2999,4032,1382,966,36,59,1,925,1,0,1028,85,0,0,1,0,8,837,2,1,5693,4320,3829,2963,4,656,2,3,0,3872,0,0,0,6,0,0,0,0,13,1,46,1,0,0,2,3990,0,5,4,1,4,1,14,1,4,7,8,1,0,1,1,1,3,0,9,0,2,1,185,2,834,2,2,0,10,7,3,1,11,4,0,1,18,128,7,76,0,3,2501,4140,1714,75,1516,3278,6,5359,6514,2501,3310,0,1,2,9,84,0,1904,8,0,2306,3,0,1,0,6,39,31,2,0,1,18,659,1637,2175,1274,4
2022-04-22,2,1,0,111,2,0,51,1,0,36,5,61,694,4,0,0,11,3,1,3,0,2,1,401,40,1,0,5,1,0,3,3,69,1,6,2,6,1,8,21,316,98,2397,2,164,0,1,3803,9,882,2,16,1,1,4,2,0,0,0,0,14,5,3,0,108,52,2,3121,8,472,3,6,0,277,763,6,1,1,3257,27,2,10,3,0,2,3,736,341,7,2176,4,2,13,0,14,0,52,0,0,2035,2,2,0,0,0,2,2922,3,0,0,0,18,1704,1589,0,97,3,1,2,1,3,1,1,1,598,0,2,2,15,6,1,4864,2,9,0,1,1513,3091,2,2208,3141,3942,1358,1095,41,60,2,1230,2,3,1054,97,0,0,4,1,10,1096,5,0,4665,3614,3534,2820,5,671,2,9,7,3687,1,0,0,1,1,0,6,0,12,0,34,2,1,0,1,3893,0,6,8,1,4,0,16,3,3,5,4,1,0,3,4,6,4,0,8,0,2,2,221,4,999,1,3,0,15,12,4,1,7,1,0,2,22,149,12,61,1,4,2430,3601,1784,117,1591,3206,4,5002,5948,2431,3560,1,1,1,15,71,0,2095,11,1,2703,1,0,0,0,3,50,31,0,2,1,20,666,1661,2492,1121,31
2022-04-23,1,0,1,197,0,1,80,0,1,25,0,54,568,4,0,2,9,2,0,3,4,1,3,483,61,1,0,6,1,0,1,0,93,6,0,8,12,0,2,8,367,126,2007,1,208,1,1,4182,6,1009,9,19,1,1,4,2,0,0,0,1,7,3,2,0,118,56,0,3139,7,412,3,1,0,381,776,5,0,4,4684,24,0,18,7,0,0,2,711,316,4,2331,0,5,12,3,3,0,72,0,0,1649,0,2,0,0,0,8,3431,0,0,0,0,31,1614,1653,0,169,1,0,0,0,1,0,0,0,706,1,8,1,20,5,4,4972,2,7,0,1,1583,2106,0,1593,3116,3924,1309,1363,46,86,0,2047,2,0,1173,237,2,0,1,0,0,1140,3,1,3314,2781,3002,2409,1,972,3,6,1,3280,1,0,1,1,0,0,4,0,25,1,61,3,0,1,1,3079,0,8,13,5,1,0,29,6,2,3,3,2,0,0,1,4,2,0,2,0,0,3,280,3,1070,1,3,0,7,12,4,1,4,4,0,0,26,229,8,77,0,11,2442,3278,1764,201,1411,3031,4,4086,4508,2423,3527,0,1,3,16,130,0,1986,16,3,2887,0,0,1,0,3,94,74,1,0,1,11,676,1232,2867,1080,40
2022-04-24,5,0,1,136,2,0,66,0,0,34,2,42,460,1,0,1,6,0,0,2,3,1,2,410,69,1,0,4,0,0,2,1,46,1,2,10,6,1,3,11,338,91,1741,1,138,1,0,3450,13,920,13,34,0,0,2,1,0,0,0,1,9,5,3,0,109,60,1,2507,3,393,1,1,0,277,618,5,0,4,3565,23,4,16,1,0,3,0,524,223,5,1824,2,0,17,2,4,0,57,0,0,1332,0,1,0,0,0,3,2518,1,0,0,2,23,1313,1366,0,145,1,0,4,3,0,0,1,2,541,4,3,0,9,7,0,5773,5,4,1,0,1160,2942,0,1259,2537,3127,1039,1032,42,58,4,1433,0,1,1012,123,0,0,0,0,15,826,5,0,2715,2312,2345,1988,1,679,7,9,5,2657,2,0,3,1,0,0,3,3,22,0,57,2,0,0,1,2913,0,17,14,6,1,0,25,4,3,2,0,2,0,1,1,2,1,0,1,0,1,3,196,3,874,2,4,0,5,12,4,1,10,4,0,0,25,158,3,69,1,0,1893,2962,1279,158,1171,2242,7,3141,3677,2097,2950,1,6,2,21,90,0,1583,5,2,2229,1,0,1,0,4,83,62,10,2,0,21,484,1042,2148,1025,38
2022-04-25,1,0,0,36,1,0,50,0,1,28,3,27,538,3,0,0,1,2,1,3,2,2,3,326,36,2,0,5,1,0,0,1,38,2,5,0,2,0,3,15,265,81,1914,1,88,1,0,2710,6,593,11,19,1,0,3,3,0,0,0,2,8,8,1,1,59,16,1,2398,4,446,3,3,0,253,672,5,0,2,1542,10,1,7,4,0,1,2,448,252,5,1473,1,4,12,1,14,0,25,0,0,1761,2,1,0,0,0,3,2033,1,1,0,0,5,1261,856,0,90,1,0,2,1,3,0,0,2,489,2,8,0,16,8,1,5810,1,5,1,4,1209,3648,4,2419,2505,3243,1317,602,28,48,0,440,2,0,926,80,1,0,2,0,5,554,6,0,4772,3786,3052,2015,5,631,2,7,1,3138,0,0,1,1,0,0,1,0,20,0,25,1,3,0,1,3611,0,5,4,0,0,3,10,7,7,3,6,0,0,1,1,0,2,0,4,0,3,4,135,2,505,3,5,0,10,13,1,3,13,6,0,4,7,108,7,56,0,2,1989,3077,1275,46,1299,2483,4,4884,5395,2243,2643,0,2,7,10,79,0,1150,7,3,1529,2,0,0,0,2,8,11,1,2,1,15,442,1428,1823,1171,17
2022-04-26,1,0,1,53,3,0,42,2,0,22,1,24,635,7,0,0,3,3,0,1,2,4,5,356,30,1,0,7,2,0,0,1,51,0,6,2,4,2,10,19,301,98,1952,0,133,0,1,3112,4,777,6,21,0,1,3,1,0,0,0,2,19,3,0,2,58,13,4,2567,2,479,1,11,0,266,719,8,1,0,1876,12,0,3,1,0,2,0,614,285,9,1729,7,8,19,4,5,0,37,0,0,2088,1,0,0,0,0,5,2446,4,0,0,0,5,1432,1031,0,81,4,0,3,0,8,1,4,3,567,0,5,0,13,11,3,5498,1,2,1,1,1366,3497,4,2634,2867,3785,1384,707,37,40,0,603,0,0,1031,107,1,0,2,0,7,609,6,2,5496,4533,3544,2379,6,703,0,7,3,3794,0,0,1,3,0,0,4,0,16,2,30,1,2,0,1,3872,0,7,4,2,5,2,12,8,1,2,6,2,0,2,0,0,2,0,6,0,3,0,152,1,638,0,5,0,11,6,3,4,3,2,0,5,19,120,4,74,1,3,2402,3497,1495,121,1518,2915,3,5552,6420,2422,3001,0,6,5,13,87,0,1358,7,0,1764,1,0,0,0,6,17,9,2,1,2,17,473,1606,2054,1251,3
2022-04-27,2,0,2,54,2,0,53,1,2,28,1,45,706,4,0,2,11,1,1,2,3,2,5,414,40,10,0,2,0,0,0,0,55,3,6,3,3,3,5,19,331,97,2144,2,124,0,2,3549,4,862,2,30,0,0,4,3,0,0,0,0,7,4,0,2,71,27,1,2784,1,434,4,3,0,291,846,4,3,2,2400,14,0,7,5,0,1,2,668,328,9,1888,4,1,10,1,8,0,37,0,0,1912,0,3,0,0,0,0,2965,0,0,0,0,6,1491,1153,0,84,3,0,5,1,5,0,1,1,616,2,4,0,14,8,3,5015,0,7,1,1,1473,3405,3,2690,3015,4126,1605,858,38,50,0,692,0,1,1116,99,1,1,0,0,7,722,2,3,5104,4252,3813,2464,1,748,1,8,2,3943,1,0,1,3,0,0,5,2,22,1,24,2,1,1,4,3798,0,6,9,3,5,0,9,8,3,6,8,1,0,4,1,2,2,0,2,0,1,3,144,5,751,3,6,0,8,5,7,4,12,1,0,3,25,149,3,67,2,3,2781,3721,1850,79,1626,3050,3,5998,6836,2604,3372,1,1,3,11,110,0,1590,14,2,1953,0,0,0,1,4,23,21,1,3,3,22,537,1472,2254,1024,9
2022-04-28,1,0,0,78,1,0,46,1,0,40,2,50,797,7,1,1,10,1,2,0,1,2,1,427,47,3,0,10,0,0,0,0,55,0,0,3,4,1,5,23,314,103,2129,2,138,0,2,3542,11,827,4,31,0,0,5,5,0,0,0,1,9,3,0,1,66,25,1,2855,5,423,4,6,0,282,801,12,1,4,2549,7,1,5,4,0,2,3,732,391,6,1895,4,1,8,1,6,0,36,2,0,1924,2,2,0,0,0,1,2832,3,0,0,0,16,1540,1294,0,88,4,1,7,0,3,1,2,3,632,1,4,2,12,4,4,5117,3,4,2,0,1395,3423,5,2629,3224,4170,1390,949,34,60,0,833,1,3,1037,96,1,1,4,0,2,831,1,2,4946,4141,3866,2616,8,738,2,10,3,3947,2,0,1,1,0,0,1,2,15,0,31,2,1,0,1,3524,0,5,3,1,0,2,11,7,1,6,8,0,0,0,0,1,2,0,5,0,2,2,210,4,765,0,4,0,3,9,3,1,9,2,0,3,23,159,7,73,0,5,2631,3821,1862,94,1628,3286,4,5701,6742,2489,3391,0,2,3,7,85,0,1758,9,1,2103,2,0,2,0,1,23,23,3,2,0,17,623,1596,2329,1317,12
2022-04-29,2,0,1,113,1,0,54,0,0,27,1,42,719,5,0,0,9,0,1,2,1,1,0,440,69,1,0,6,1,0,0,2,62,3,2,7,12,0,4,15,421,161,2090,2,182,0,2,3566,15,868,4,28,0,1,5,1,1,0,0,0,15,2,0,1,86,39,1,2880,3,430,5,5,0,385,945,8,2,3,3127,16,3,5,4,0,3,5,706,343,4,2140,4,0,9,3,5,0,46,1,0,1837,2,2,0,0,0,3,2975,2,0,0,0,18,1612,1500,0,153,2,0,4,0,1,1,0,3,625,1,8,0,16,12,2,5059,2,7,3,2,1477,3115,4,2359,3035,3887,1560,1058,38,58,2,1154,0,0,1206,145,1,0,0,0,5,939,2,0,4500,3564,3324,2582,4,886,5,12,2,3433,0,0,0,1,1,0,5,1,20,0,25,2,0,0,0,3726,0,4,11,5,2,0,22,6,3,4,5,2,0,1,1,6,2,0,2,0,0,4,179,4,905,1,4,0,12,4,2,4,15,1,0,2,27,200,7,77,2,2,2522,3404,1809,128,1535,3105,8,5507,5949,2709,3596,0,0,4,13,126,0,1590,9,0,2522,2,0,0,0,3,33,28,3,1,5,13,560,1638,2587,1168,11
2022-04-30,0,1,4,234,0,0,80,1,0,44,0,75,739,3,1,0,5,1,0,1,0,0,3,383,53,0,0,6,2,0,1,2,90,3,0,19,16,0,7,15,432,117,2385,0,176,1,1,4052,16,1013,1,16,0,3,4,3,2,0,0,1,12,0,1,0,113,66,1,3049,4,359,0,1,0,340,702,1,0,2,4897,53,2,10,1,0,2,1,731,359,3,2142,1,0,10,4,8,0,67,0,0,1522,1,0,0,0,0,10,3351,1,1,0,0,54,1798,1562,0,126,1,0,4,0,0,0,0,0,780,0,4,0,21,3,0,4829,3,8,0,3,1440,2067,0,1557,3146,4221,1426,1436,53,81,0,1992,3,0,1124,95,1,1,1,0,1,1243,5,2,3496,2869,3032,2413,0,591,2,10,1,3420,2,0,0,3,0,0,1,0,23,2,36,3,0,0,0,2962,0,10,20,1,1,0,17,10,5,7,3,0,0,1,1,2,0,0,1,0,2,2,249,3,1129,4,7,1,7,7,3,1,11,3,0,2,24,283,8,104,0,7,2528,3301,1996,257,1482,3301,9,4026,4594,2386,3639,1,1,4,9,79,0,2038,9,2,3270,3,0,0,0,1,207,113,0,0,0,24,743,1357,2830,1044,11
